"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14470","Successful login on QA Test App [IOS]","","2026-02-18","passed","2026-02-18","","User Login Functionality","Successful login on QA Test App",""
"","13388","Successful login on QA Test App [ANDROID]","","2026-02-18","passed","2026-02-18","","User Login Functionality","Successful login on QA Test App",""
